id,type,name,creator,starring,year,rating,time,genres,country,describle
80220426,Movie,Black Crab,,"Noomi Rapace, Jakob Oftebro, Erik Enge",2022,TV-14,114 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies",Sweden,"To end an apocalyptic war and save her daughter, a reluctant soldier embarks on a desperate mission to cross a frozen sea carrying a top-secret cargo."
81212831,Movie,Double World,,"Henry Lau, Peter Ho, Lin Chenhan",2020,TV-14,110 min,"Military Movies ,Period Pieces ,Action & Adventure Movies ",China,"Keen to bring honor to his clan, young villager Dong Yilong embarks on a perilous journey to compete in a tournament that selects warriors for battle."
81153955,Movie,Kingdom,,"Kento Yamazaki, Ryo Yoshizawa, Masami Nagasawa",2019,TV-14,133 min,"Military Movies ,Period Pieces ,Action & Adventure Movies",Japan,"After his friend dies in service to the king, a war orphan takes up his sword and vows to seek justice by restoring the deposed king to the throne."
81388316,Movie,Interceptor,,"Elsa Pataky, Luke Bracey, Aaron Glenane",2022,TV-14,98 min,"Military Movies ,Action & Adventure Movies",Australia,The last officer standing on a remote missile defense base wages the battle of her life against terrorists aiming 16 stolen nuclear weapons at the US.
70266110,Movie,Company of Heroes,,"Tom Sizemore, Chad Michael Collins, Vinnie Jones",2013,TV-MA,100 min,"Military Movies ,Drama Movies ,Action & Adventure Movies ",United States,"During the last major German offensive of World War II, a group of Allied soldiers sets out against all odds to turn the war around."
81410784,Movie,SAS: Rise of the Black Swan,,"Sam Heughan, Ruby Rose, Andy Serkis",2021,TV-MA,125 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies",United Kingdom,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
81631722,Movie,Kingdom2: Far and Away,,"Kento Yamazaki, Ryo Yoshizawa, Kanna Hashimoto",2022,TV-14,134 min,"Military Movies ,Period Pieces ,Action & Adventure Movies",Japan,"An ambitious young war orphan, with no battlefield experience, joins the ragtag infantry attempting to fight off the far-superior invading army."
80098200,Movie,Spectral,,"James Badge Dale, Emily Mortimer, Bruce Greenwood",2016,TV-14,108 min,"Sci-Fi Movies ,Military Movies ,Action & Adventure Movies ",United States,"When an otherworldly force wreaks havoc on a war-torn European city, an engineer teams up with an elite Special Ops unit to stop it."
81582615,Movie,Medieval,,"Ben Foster, Sophie Lowe, Matthew Goode",2022,TV-MA,126 min,"Military Movies ,Drama Movies ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies",Czech Republic,A righteous mercenary leader seizes his destiny as he wages war against the armies of the Teutonic Order and the Holy Roman Empire.
80993331,Movie,Hunter Killer,,"Gerard Butler, Gary Oldman, Common",2018,TV-MA,116 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies ",United States,"When the Russian president gets kidnapped in a coup, an American submarine captain leads a rescue mission in the hopes of avoiding all-out war."
81067756,Movie,Dynasty Warriors,,"Wang Kai, Louis Koo, Han Geng",2021,TV-14,120 min,"Military Movies ,Movies Based on Books ,Action & Adventure Movies ",China,"Warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms."""
81166791,Movie,The Forgotten Battle,,"Gijs Blom, Jamie Flatters, Susan Radder",2021,TV-MA,127 min,"Military Movies ,Drama Movies ,Action & Adventure Movies",Netherlands,"During WWII's crucial Battle of the Scheldt, the lives of a glider pilot, a Nazi soldier and a reluctant Resistance recruit tragically intersect."
80091138,Movie,Jarhead 3: The Siege,,"Scott Adkins, Charlie Weber, Dante Basco",2016,TV-MA,89 min,"Military Movies ,Drama Movies ,Action & Adventure Movies ",United States,"After a U.S. embassy comes under attack, unsuspecting Marines guarding the compound are swept into a ferocious battle to protect civilian lives."
81577427,Movie,Mat Kilau,,"Adi Putra, Beto Kusyairy, Fattah Amin",2022,TV-14,117 min,"Military Movies ,Drama Movies ,Period Pieces ,Action & Adventure Movies ,Social Issue Dramas",Malaysia,"After British armies invade Pahang, a legendary warrior leads his people into guerilla warfare to protect their home from the threat of colonization."
80118916,Movie,Sand Castle,,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill",2017,TV-MA,113 min,"Military Movies ,Drama Movies ,Independent Movies ,Movies Based on Real Life ,Action & Adventure Movies ",United States,"After the invasion of Iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system."
70305907,Movie,Fury,,"Brad Pitt, Shia LaBeouf, Logan Lerman",2014,TV-MA,134 min,"Military Movies ,Drama Movies ,Action & Adventure Movies ",United States,"In the chaotically violent final days of World War II, an American tank commander and his crew venture behind enemy lines on a life-or-death mission."
81631030,Movie,Air Force The Movie: Danger Close,,"Aiman Hakim Ridza, Adi Putra, Nas-T",2022,TV-PG,103 min,"Military Movies ,Drama Movies ,Action & Adventure Movies",Malaysia,"After a militia group shoots down a special forces aircraft, nine survivors must hold out on the ground while a rescue mission is devised."
80011706,Movie,The Admiral: Roaring Currents,,"Choi Min-sik, Ryu Seung-ryong, Cho Jin-woong",2014,TV-MA,109 min,"Military Movies ,Drama Movies ,Period Pieces ,Movies Based on Real Life ,Action & Adventure Movies",South Korea,"With the odds stacked against him, a Korean admiral defends his land against the Japanese by luring the enemy's massive armada into a deadly trap."
